,duration,protocol_type,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,ls_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
3338,0.005053,tcp,RSTOS0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0.190476,0.0,0.571429,0,0.047619,0.9523809999999999,0.0,21,1,0.047619,0.9523809999999999,0.0,0.0,0.190476,0.0,0.571429,0,attack
3339,0.0053560000000000005,tcp,RSTO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.181818,0.0,0.545455,0,0.0,1.0,0.0,22,0,0.0,1.0,0.0,0.0,0.181818,0.0,0.545455,0,attack
3340,0.00023999999999999998,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.173913,0.0,0.5217390000000001,0,0.0,1.0,0.0,23,0,0.0,1.0,0.0,0.0,0.173913,0.0,0.5217390000000001,0,attack
3341,0.000236,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.166667,0.0,0.541667,0,0.0,1.0,0.0,24,0,0.0,1.0,0.0,0.0,0.166667,0.0,0.541667,0,attack
3342,1.8e-05,tcp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.16,0.0,0.56,0,0.0,1.0,0.0,25,0,0.0,1.0,0.0,0.0,0.16,0.0,0.56,0,attack
3343,0.00020800000000000001,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0.19230799999999998,0.0,0.538462,0,0.0,1.0,0.0,26,0,0.0,1.0,0.0,0.0,0.19230799999999998,0.0,0.538462,0,attack
3344,0.00024300000000000002,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.185185,0.0,0.555556,0,0.0,1.0,0.0,27,0,0.0,1.0,0.0,0.0,0.185185,0.0,0.555556,0,attack
3345,0.00023500000000000002,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.178571,0.0,0.571429,0,0.0,1.0,0.0,28,0,0.0,1.0,0.0,0.0,0.178571,0.0,0.571429,0,attack
3346,0.000291,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0.172414,0.0,0.5862069999999999,0,0.0,1.0,0.0,29,0,0.0,1.0,0.0,0.0,0.172414,0.0,0.5862069999999999,0,attack
3347,0.000286,tcp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0.166667,0.0,0.6,0,0.0,1.0,0.0,30,0,0.0,1.0,0.0,0.0,0.166667,0.0,0.6,0,attack
